,Dias,Temperaturas Maxima,Temperaturas Minima,Temperatura media  dia
0,1,28,12,20
1,2,29,12,20
2,3,28,13,20
3,4,26,13,19
4,5,25,12,18
5,6,24,12,18
6,7,28,12,20
7,8,28,14,21
8,9,26,14,20
9,10,26,13,19
10,11,25,13,19
11,12,28,12,20
12,13,26,13,19
13,14,27,13,20
14,15,26,11,18
15,16,26,12,19
16,17,25,12,18
17,18,25,12,18
18,19,26,12,19
19,20,26,12,19
20,21,25,12,18
21,22,25,12,18
22,23,25,12,18
23,24,25,12,18
24,25,25,12,18
25,26,26,14,20
26,27,26,14,20
27,28,26,14,20
28,29,26,14,20
29,30,25,14,19
30,31,25,14,19
