,Dias,Temperaturas Maxima,Temperaturas Minima,Temperatura media  dia
0,1,28,12,20
1,2,29,12,20
2,3,28,13,20
3,4,26,13,19
4,5,25,12,18
5,6,24,12,18
6,7,28,12,20
7,8,28,14,21
8,9,26,14,20
9,10,25,13,19
10,11,28,13,20
11,12,28,13,20
12,13,28,13,20
13,14,28,13,20
14,15,27,12,19
15,16,27,12,19
16,17,26,13,19
17,18,25,13,19
18,19,26,13,19
19,20,26,13,19
20,21,26,13,19
21,22,26,13,19
22,23,26,13,19
23,24,26,13,19
24,25,26,13,19
25,26,26,14,20
26,27,26,14,20
27,28,26,14,20
28,29,26,14,20
29,30,25,14,19
30,31,25,14,19
